PeriodEnd,Temp_Aire_ºC,RH_%,WS_10m_ms,Zenith_º
2020-07-01 00:00:00,20.0,65.6,4.2,126.0
2020-07-01 00:10:00,20.0,65.5,4.2,126.0
2020-07-01 00:20:00,20.0,64.2,4.1,127.0
2020-07-01 00:30:00,20.1,62.8,4.0,128.0
2020-07-01 00:40:00,20.1,61.5,3.9,128.0
2020-07-01 00:50:00,20.2,60.2,3.8,128.0
2020-07-01 01:00:00,20.2,59.1,3.7,129.0
2020-07-01 01:10:00,20.2,58.3,3.6,129.0
2020-07-01 01:20:00,20.1,58.1,3.6,129.0
2020-07-01 01:30:00,20.1,57.9,3.5,129.0
2020-07-01 01:40:00,20.0,57.7,3.5,128.0
2020-07-01 01:50:00,19.9,57.6,3.4,128.0
2020-07-01 02:00:00,19.9,57.4,3.4,127.0
2020-07-01 02:10:00,19.8,57.1,3.3,127.0
2020-07-01 02:20:00,19.8,56.9,3.2,126.0
2020-07-01 02:30:00,19.8,56.6,3.1,125.0
2020-07-01 02:40:00,19.7,56.4,3.0,125.0
2020-07-01 02:50:00,19.7,56.1,2.9,124.0
2020-07-01 03:00:00,19.7,55.8,2.8,123.0
2020-07-01 03:10:00,19.7,55.4,2.7,122.0
2020-07-01 03:20:00,19.7,54.7,2.7,120.0
2020-07-01 03:30:00,19.7,54.1,2.6,119.0
2020-07-01 03:40:00,19.7,53.5,2.5,118.0
2020-07-01 03:50:00,19.8,52.9,2.4,116.0
2020-07-01 04:00:00,19.8,52.4,2.4,115.0
2020-07-01 04:10:00,19.8,51.9,2.3,113.0
2020-07-01 04:20:00,19.8,51.6,2.3,112.0
2020-07-01 04:30:00,19.7,51.4,2.3,110.0
2020-07-01 04:40:00,19.7,51.1,2.3,109.0
2020-07-01 04:50:00,19.7,50.8,2.3,107.0
2020-07-01 05:00:00,19.6,50.8,2.4,105.0
2020-07-01 05:10:00,19.5,51.2,2.6,103.0
2020-07-01 05:20:00,19.4,52.4,3.0,102.0
2020-07-01 05:30:00,19.2,53.7,3.5,100.0
2020-07-01 05:40:00,19.1,55.0,3.9,98.0
2020-07-01 05:50:00,18.9,56.4,4.4,96.0
2020-07-01 06:00:00,18.8,57.3,4.8,94.0
2020-07-01 06:10:00,18.8,57.7,5.0,92.0
2020-07-01 06:20:00,19.1,56.7,4.9,90.0
2020-07-01 06:30:00,19.4,55.7,4.8,88.0
2020-07-01 06:40:00,19.7,54.6,4.7,86.0
2020-07-01 06:50:00,20.0,53.6,4.6,84.0
2020-07-01 07:00:00,20.3,52.7,4.5,82.0
2020-07-01 07:10:00,20.5,51.8,4.5,80.0
2020-07-01 07:20:00,20.8,51.0,4.5,78.0
2020-07-01 07:30:00,21.0,50.3,4.6,76.0
2020-07-01 07:40:00,21.2,49.6,4.6,74.0
2020-07-01 07:50:00,21.4,48.9,4.6,72.0
2020-07-01 08:00:00,21.7,48.1,4.7,70.0
2020-07-01 08:10:00,21.9,47.4,4.7,68.0
2020-07-01 08:20:00,22.2,46.5,4.8,65.0
2020-07-01 08:30:00,22.5,45.6,4.9,63.0
2020-07-01 08:40:00,22.8,44.8,4.9,61.0
2020-07-01 08:50:00,23.0,44.0,5.0,59.0
2020-07-01 09:00:00,23.3,43.3,5.1,57.0
2020-07-01 09:10:00,23.5,42.8,5.2,55.0
2020-07-01 09:20:00,23.7,42.7,5.2,52.0
2020-07-01 09:30:00,23.8,42.7,5.2,50.0
2020-07-01 09:40:00,23.9,42.6,5.3,48.0
2020-07-01 09:50:00,24.1,42.5,5.3,46.0
2020-07-01 10:00:00,24.2,42.5,5.4,44.0
2020-07-01 10:10:00,24.3,42.5,5.4,42.0
2020-07-01 10:20:00,24.4,42.6,5.5,39.0
2020-07-01 10:30:00,24.5,42.8,5.5,37.0
2020-07-01 10:40:00,24.6,42.9,5.6,35.0
2020-07-01 10:50:00,24.7,43.0,5.6,33.0
