time_series,Generacion_no_renovable_MW,Generacion_renovable_MW,Demanda_real_MW,Generacion_FV_MW,Generacion_TV_MW,Generacion_CC_MW,Generacion_EO_MW,Generacion_TG_MW,Generacion_MD_MW,Demanda_programada_MW,Precio_generacion_€MWh
2020-04-01 00:00:00,282.0,8.4,290.4,0.0,32.1,221.8,8.4,0.0,28.1,277.4,165.47
2020-04-01 00:10:00,276.7,10.3,287.0,0.0,32.1,226.6,10.3,0.0,18.0,277.4,165.47
2020-04-01 00:20:00,272.7,11.6,284.3,0.0,32.1,223.1,11.6,0.0,17.5,277.4,165.47
2020-04-01 00:30:00,268.2,8.6,276.8,0.0,32.1,218.0,8.6,0.0,18.1,277.4,165.47
2020-04-01 00:40:00,265.4,5.2,270.6,0.0,32.1,215.2,5.2,0.0,18.1,277.4,165.47
2020-04-01 00:50:00,262.7,4.3,267.0,0.0,32.1,212.4,4.3,0.0,18.2,277.4,165.47
2020-04-01 01:00:00,260.0,3.0,263.0,0.0,32.1,210.5,3.0,0.0,17.4,250.7,171.15
2020-04-01 01:10:00,255.5,2.4,257.9,0.0,32.1,205.2,2.4,0.0,18.2,250.7,171.15
2020-04-01 01:20:00,251.1,2.5,253.6,0.0,32.1,200.7,2.5,0.0,18.3,250.7,171.15
2020-04-01 01:30:00,248.6,1.8,250.4,0.0,32.1,198.2,1.8,0.0,18.3,250.7,171.15
2020-04-01 01:40:00,246.8,1.5,248.3,0.0,32.1,197.1,1.5,0.0,17.6,250.7,171.15
2020-04-01 01:50:00,242.5,1.2,243.7,0.0,32.1,192.6,1.2,0.0,17.8,250.7,171.15
2020-04-01 02:00:00,241.0,0.9,241.9,0.0,32.1,190.9,0.9,0.0,18.0,233.0,174.41
2020-04-01 02:10:00,239.3,0.6,239.9,0.0,32.0,189.6,0.6,0.0,17.7,233.0,174.41
2020-04-01 02:20:00,236.6,0.4,237.0,0.0,32.1,186.9,0.4,0.0,17.6,233.0,174.41
2020-04-01 02:30:00,234.0,0.3,234.3,0.0,32.1,183.9,0.3,0.0,18.0,233.0,174.41
2020-04-01 02:40:00,233.4,0.5,233.9,0.0,32.0,183.2,0.5,0.0,18.2,233.0,174.41
2020-04-01 02:50:00,232.0,0.5,232.5,0.0,32.0,182.4,0.5,0.0,17.6,233.0,174.41
2020-04-01 03:00:00,231.3,0.5,231.8,0.0,32.1,181.1,0.5,0.0,18.1,226.0,175.82
2020-04-01 03:10:00,230.9,0.6,231.5,0.0,32.1,181.2,0.6,0.0,17.6,226.0,175.82
2020-04-01 03:20:00,228.6,0.5,229.1,0.0,32.0,178.7,0.5,0.0,17.9,226.0,175.82
2020-04-01 03:30:00,229.2,0.5,229.7,0.0,32.1,179.5,0.5,0.0,17.6,226.0,175.82
2020-04-01 03:40:00,227.7,0.5,228.2,0.0,32.1,178.0,0.5,0.0,17.6,226.0,175.82
